"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.74345531107068e-153,0.757020870318713,1,0.991,8.47787201707806e-149,"0","RPS12"
2.56534159556694e-145,0.689240593511339,1,0.995,3.22514745394676e-141,"0","RPS6"
2.65489408724109e-143,0.733347057152696,0.999,0.992,3.33773284647949e-139,"0","RPS27"
1.49708425382645e-136,0.616509373099597,0.999,0.995,1.88213432391061e-132,"0","RPL32"
4.58014076273991e-130,0.78239616765149,0.997,0.975,5.75815296691661e-126,"0","RPS25"
6.90567256130466e-129,0.619392175312317,1,0.994,8.68181154407221e-125,"0","RPS14"
4.9444648499611e-123,0.632779075256101,1,0.994,6.2161812093711e-119,"0","RPS3"
8.03461459694726e-122,0.576171051493732,1,0.996,1.01011174712821e-117,"0","RPL13"
4.53410816164254e-121,0.764999108853468,0.995,0.971,5.700280780817e-117,"0","RPL9"
3.0897123757647e-120,0.632248371501847,0.997,0.995,3.88438639881138e-116,"0","RPL3"
7.98706872489871e-120,0.708506232350602,0.997,0.991,1.00413428009427e-115,"0","RPL21"
1.2414902686461e-119,0.772047670249715,0.996,0.963,1.56080156574188e-115,"0","RPL31"
4.11464398627427e-115,0.803231263112132,0.99,0.977,5.17293041954401e-111,"0","RPS3A"
2.34369837697137e-114,1.20891775881378,0.899,0.589,2.9464975995284e-110,"0","LDHB"
2.6348155013666e-113,0.687078683822058,0.997,0.98,3.31249004831809e-109,"0","RPL30"
7.22207032404464e-107,0.612249177702102,1,0.989,9.07958681138892e-103,"0","RPLP2"
1.49972357294937e-106,0.637755962937268,0.997,0.983,1.88545247591195e-102,"0","RPS15A"
3.19280150253704e-105,0.766552456825369,0.995,0.966,4.01399004898956e-101,"0","RPS27A"
4.33829021097469e-102,0.542142328065674,0.995,0.991,5.45409845323738e-98,"0","EEF1A1"
1.02541101402167e-96,0.674680623122738,1,0.999,1.28914672682805e-92,"0","MALAT1"
1.06912145506666e-96,0.525075279743947,1,0.996,1.34409949330981e-92,"0","RPS18"
9.59519290087972e-94,0.693576394778832,0.981,0.963,1.2063076514986e-89,"0","RPS13"
1.09398025586697e-92,0.54094093933121,0.999,0.987,1.37535197767596e-88,"0","RPL27A"
1.55821085780322e-92,0.592037075411046,0.997,0.981,1.95898269043021e-88,"0","RPL35A"
6.15003371642775e-92,0.789202072696863,0.986,0.904,7.73182238829297e-88,"0","RPS29"
1.08596299310694e-91,0.470522283381139,1,0.999,1.36527267493404e-87,"0","RPL13A"
7.4390539957213e-91,0.451838260301416,1,0.995,9.35237868342082e-87,"0","RPL11"
2.51188330904216e-90,0.577158657109152,1,0.988,3.15793969612781e-86,"0","RPL23A"
5.23590426095219e-88,0.582292166676496,0.996,0.977,6.5825788368691e-84,"0","RPS23"
7.91527521017484e-88,0.643955265757987,0.988,0.97,9.9510839942318e-84,"0","RPS28"
1.55961461769649e-85,0.602118979712156,0.995,0.983,1.96074749736802e-81,"0","TPT1"
